left,right
3.0730000000000035,2.999799999999998
3.0710000000000037,2.999399999999998
3.0686000000000035,2.9991999999999974
3.0666000000000038,2.998999999999997
3.0650000000000035,2.9987999999999966
3.0634000000000032,2.998599999999996
3.062000000000003,2.998599999999996
3.0602000000000027,2.9987999999999966
3.058200000000003,2.998999999999997
3.0564000000000027,2.9991999999999974
3.055200000000003,2.9997999999999974
3.0554000000000032,3.0007999999999977
3.055000000000003,3.0017999999999976
3.055000000000003,3.002999999999998
3.055000000000003,3.0041999999999978
3.055000000000003,3.0055999999999985
3.054800000000003,3.0069999999999983
3.054200000000003,3.008799999999998
3.055000000000003,3.0113999999999987
3.0570000000000026,3.013599999999999
3.0578000000000025,3.015999999999999
3.0586000000000024,3.0183999999999993
3.059000000000002,3.0209999999999995
3.060000000000002,3.023199999999999
3.060000000000002,3.0251999999999994
3.0590000000000015,3.0269999999999992
3.0580000000000016,3.028399999999999
3.058400000000002,3.029799999999999
3.0574000000000026,3.0307999999999993
3.0550000000000024,3.031399999999999
3.052600000000002,3.0317999999999996
3.049800000000002,3.032
3.0470000000000024,3.032
3.045400000000002,3.0318
3.042400000000002,3.0316
3.0406000000000017,3.0316
3.0378000000000016,3.0322000000000005
3.035600000000001,3.033
3.0318000000000014,3.0342000000000002
3.029000000000001,3.0348
3.026400000000001,3.0352000000000006
3.0224000000000006,3.0356000000000005
3.0188000000000006,3.0358000000000005
3.0172000000000008,3.0358000000000005
3.014000000000001,3.035400000000001
3.0112000000000005,3.0348000000000006
3.0088000000000004,3.0342000000000007
3.003400000000001,3.0332000000000003
2.997000000000001,3.0320000000000005
2.9924000000000013,3.0308000000000006
2.990600000000001,3.0292000000000003
2.986800000000001,3.0276000000000005
2.983800000000001,3.0258000000000003
2.980200000000001,3.0240000000000005
2.9774000000000007,3.0222
2.9726000000000004,3.0202000000000004
2.968600000000001,3.0182000000000007
2.963400000000001,3.016
2.959600000000001,3.0134
2.9574000000000007,3.0109999999999997
2.9536000000000007,3.0082
2.948000000000001,3.0047999999999995
2.942200000000001,3.0013999999999994
2.9380000000000006,2.9977999999999994
2.9328000000000003,2.9939999999999993
2.9284,2.990199999999999
2.9245999999999994,2.9861999999999984
2.9133999999999993,2.9821999999999984
2.8975999999999993,2.9779999999999984
2.8837999999999995,2.974199999999998
2.8689999999999998,2.970599999999998
2.8569999999999998,2.9669999999999974
2.8478,2.9633999999999974
2.8402,2.9599999999999977
2.8341999999999996,2.9569999999999976
2.8278,2.9537999999999975
2.8213999999999992,2.951199999999998
2.814799999999999,2.9487999999999976
2.8095999999999988,2.9465999999999974
2.7995999999999985,2.944799999999997
2.7991999999999986,2.943199999999997
2.799986666666665,2.938399999999997
2.801759999999998,2.934324999999997
2.803319999999998,2.9309749999999974
2.807066666666665,2.928349999999997
2.810399999999998,2.926049999999997
2.8157199999999976,2.9238749999999967
2.8212266666666643,2.9220249999999965
2.8299199999999978,2.9204999999999965
2.839399999999998,2.920099999999997
2.8496666666666655,2.9184999999999968
2.860719999999999,2.9156999999999966
2.8743599999999994,2.9144999999999963
2.8865866666666657,2.914299999999997
2.900399999999999,2.9144999999999963
2.915799999999999,2.9150999999999967
2.9119999999999995,2.9156999999999966
2.901199999999999,2.916699999999997
2.893599999999999,2.917899999999997
2.883599999999999,2.9192999999999967
2.872999999999999,2.921499999999997
2.866799999999999,2.924099999999997
2.8513999999999986,2.927099999999997
2.8447999999999984,2.9302999999999972
2.8315999999999986,2.9334999999999978
2.8197999999999985,2.9368999999999983
2.8131999999999984,2.9404999999999983
